date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:51	191418/191418	---M-Z	200	added ('OK')	text/html	etag:%22fa4a8d3915321efe4943654c8e2bd898;gzip%22	https://www.han.nl/opleidingen/hbo/fysiotherapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-26.html	(from )
13:37:51	253798/253798	---M-Z	200	added ('OK')	text/html	etag:%223155af70c440de0b43a5d8349afa856a;gzip%22	https://www.han.nl/opleidingen/hbo/food-business/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-25.html	(from )
13:37:51	288547/288547	---M-Z	200	added ('OK')	text/html	etag:%227d7e8f9cde5dd6a118f323f3eaed43ce;gzip%22	https://www.han.nl/opleidingen/hbo/finance-control/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-24.html	(from )
13:37:51	631/631	---M-Z	200	added ('OK')	text/html	etag:%22369ffdf0296acfff63001067e4bb7a0a;gzip%22	https://www.han.nl/robots.txt		(from )
13:37:52	201188/201188	---M-Z	200	added ('OK')	text/html	etag:%223336f9fdd3945586c454e348f288495e;gzip%22	https://www.han.nl/opleidingen/hbo/hbo-ict/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-27.html	(from )
13:37:52	212847/212847	---M-Z	200	added ('OK')	text/html	etag:%225030240a8b5fc4beb2ec794d7f59023b;gzip%22	https://www.han.nl/opleidingen/hbo/hbo-rechten/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-28.html	(from )
13:37:52	280081/280081	---M-Z	200	added ('OK')	text/html	etag:%2202487dc5586e5c6503af00b84b07eeb3;gzip%22	https://www.han.nl/opleidingen/hbo/human-resource-management/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-29.html	(from )
13:37:53	237802/237802	---M-Z	200	added ('OK')	text/html	etag:%22ba728f36f398f9f8b410b678b2f5af58;gzip%22	https://www.han.nl/opleidingen/hbo/international-business-engelstalig/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-31.html	(from )
13:37:53	217928/217928	---M-Z	200	added ('OK')	text/html	etag:%22171190f9ff1636b4ba266423799ba838;gzip%22	https://www.han.nl/opleidingen/hbo/learning-development-organisations/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-33.html	(from )
13:37:54	228282/228282	---M-Z	200	added ('OK')	text/html	etag:%22a7ca944a224a5905ba64bbf40b349cb9;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-basisonderwijs/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-35.html	(from )
